# uq_sweep.py main/train  2026-07-19T10:01:55+00:00
# seed=42  n=256  N=200  T=400.0  dt=0.0001  rel_tol=0.1
# python=3.14.6  numpy=2.3.4
# wall_seconds=3171  workers=8
delta,A,alpha,v_sim,v_pred,ratio,run_seconds
0.0009122795,1.067094,0.095020688,0.226550,0.229326,1.012253,81.4
0.0010382431,1.0660439,0.10254769,0.238034,0.241010,1.012503,80.5
0.00094696756,0.92548578,0.1070473,0.181492,0.184420,1.016136,80.2
0.00098582073,0.95490093,0.10061628,0.206476,0.209640,1.015324,80.1
0.001007529,1.073477,0.10194763,0.234276,0.237161,1.012315,82.4
0.0010485328,1.0153083,0.10758592,0.218638,0.221583,1.013472,80.4
0.00092467833,1.0283553,0.095555266,0.219906,0.222798,1.013150,75.0
0.0010739735,0.97083095,0.091962135,0.247540,0.251318,1.015258,84.8
0.00091250961,0.98502832,0.091298404,0.217069,0.220204,1.014440,80.8
0.00093472994,1.0422017,0.096025154,0.224131,0.227025,1.012911,80.7
0.0010912698,0.95280915,0.10873847,0.210788,0.214062,1.015532,80.3
0.001082262,1.0814307,0.094355802,0.271494,0.274818,1.012242,80.4
0.001052702,0.93193273,0.097485923,0.220769,0.224402,1.016457,81.7
0.00092690806,0.93379193,0.098166098,0.194863,0.197982,1.016010,80.5
0.00092367338,1.0020397,0.10390599,0.197564,0.200308,1.013889,75.0
0.00094603003,1.0902762,0.091409701,0.248562,0.251505,1.011837,84.3
0.0010584229,1.051872,0.10745322,0.228844,0.231763,1.012756,80.6
0.00092743015,0.98959189,0.092603433,0.218515,0.221639,1.014296,80.7
0.00096093518,0.95994201,0.10733974,0.190499,0.193353,1.014984,80.0
0.0010428744,1.0934117,0.093404442,0.267701,0.270898,1.011942,79.6
0.00093850305,1.0607488,0.10498486,0.210409,0.212998,1.012305,81.5
0.00090534133,1.0585808,0.10907581,0.195530,0.197945,1.012351,80.5
0.00097977064,1.0112651,0.10531083,0.208311,0.211136,1.013562,74.9
0.0010374993,1.047277,0.10542958,0.227631,0.230544,1.012796,83.9
0.0010091138,1.0171972,0.093866693,0.240207,0.243494,1.013684,81.0
0.0010848829,1.0803094,0.10695085,0.241755,0.244659,1.012014,81.0
0.00093210191,1.0785314,0.09729537,0.228521,0.231284,1.012092,80.2
0.00098663831,0.96125622,0.10307793,0.203321,0.206384,1.015064,80.6
0.00091721016,0.94382349,0.10426443,0.184083,0.186985,1.015766,82.2
0.0009150319,1.06007,0.10961938,0.196873,0.199309,1.012377,80.8
0.0010274555,1.0698398,0.10666571,0.227926,0.230699,1.012165,71.7
0.00095060685,0.93803327,0.096968219,0.202819,0.206095,1.016156,83.9
0.0009368736,0.98527295,0.090398694,0.224684,0.227944,1.014511,81.4
0.00098899269,0.98043871,0.091395793,0.232826,0.236275,1.014813,81.0
0.001085669,1.0876394,0.10715542,0.243145,0.246020,1.011821,81.0
0.0010094033,1.0103121,0.099090521,0.226784,0.229912,1.013793,80.1
0.0010414105,1.0842648,0.092453802,0.267649,0.270886,1.012093,82.3
0.0010836341,0.91165046,0.093158712,0.231420,0.235426,1.017309,81.3
0.00091141088,0.96735324,0.10122134,0.192978,0.195872,1.014996,69.3
0.0010107824,0.90505453,0.091556779,0.218794,0.222598,1.017385,84.9
0.0010517489,0.90135429,0.097885373,0.212455,0.216171,1.017490,82.2
0.0009287886,0.92646747,0.10557746,0.180699,0.183623,1.016185,81.3
0.00097582596,1.0377961,0.1090101,0.206088,0.208754,1.012938,81.5
0.001051407,0.93712267,0.094410238,0.228524,0.232233,1.016230,80.9
0.0010608811,1.0357357,0.099653745,0.242434,0.245625,1.013162,82.8
0.0010068532,0.93260245,0.1032392,0.200697,0.203952,1.016217,81.6
